"Story","Title","Result","Date","Stability","Duration (s)"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:28:23.791242135Z[Etc/UTC]","0.0","1.26"
"Download the app","Should be able to download the application","SUCCESS","2022-03-17T20:28:25.153730478Z[Etc/UTC]","0.0","11.66"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T20:28:36.975097889Z[Etc/UTC]","0.0","1.31"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:28:38.39152643Z[Etc/UTC]","0.0","1.26"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T20:28:07.911313078Z[Etc/UTC]","0.0","1.29"
