"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T20:28:21.933851387Z[Etc/UTC]","0.0","0.88"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T20:28:22.928342022Z[Etc/UTC]","0.0","0.72"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T20:27:55.212056061Z[Etc/UTC]","0.0","1.54"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T20:27:56.840274367Z[Etc/UTC]","0.0","1.49"
