"Story","Title","Result","Date","Stability","Duration (s)"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:31:32.40567209Z[Etc/UTC]","0.0","1.22"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T20:31:45.368927717Z[Etc/UTC]","0.0","1.23"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T20:31:46.700526652Z[Etc/UTC]","0.0","1.14"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-03-17T20:31:16.901784603Z[Etc/UTC]","0.0","1.31"
