"Story","Title","Result","Date","Stability","Duration (s)"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-03-17T22:42:13.951813887Z[Etc/UTC]","0.0","1.27"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-03-17T22:42:15.29944436Z[Etc/UTC]","0.0","1.27"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-03-17T22:42:16.686414374Z[Etc/UTC]","0.0","1.11"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-03-17T22:42:17.894956497Z[Etc/UTC]","0.0","1.14"
