"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T20:31:30.68033964Z[Etc/UTC]","0.0","0.83"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T20:31:31.615136466Z[Etc/UTC]","0.0","0.64"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-03-17T20:31:04.46360296Z[Etc/UTC]","0.0","1.33"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-03-17T20:31:05.905610135Z[Etc/UTC]","0.0","1.31"
