"Story","Title","Result","Date","Stability","Duration (s)"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T22:42:58.359858063Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T22:42:59.590819962Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Delete an active item","SUCCESS","2022-03-17T22:41:44.595165372Z[Etc/UTC]","0.0","1.24"
"Deleting todos","Delete all the items","SUCCESS","2022-03-17T22:41:45.955157693Z[Etc/UTC]","0.0","3.37"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-03-17T22:42:25.36065236Z[Etc/UTC]","0.0","1.06"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-03-17T22:42:26.526369998Z[Etc/UTC]","0.0","1.09"
